STRUCTURE_NUMBER_008,LOCATION_009,"coordinates (lat, lon)",ADT_029,PERCENT_ADT_TRUCK_109,ADTT,SLF,ADTT_SL,YEAR_BUILT_027,YEAR_RECONSTRUCTED_106,EFFECTIVE_YEAR,AGE,STRUCTURE_KIND_043A,AM_years,AE_years,Risk_Index
2.0124E+14,1.0 MI SW OF US 90,"30.032059, -94.082146",65343,16.0,10454.88,1.0,10454.88,1962,0.0,1962.0,63.0,4,4.1928378363363500,2.0964189181681700,0.9999537281542570
2.0124E+14,1.0 MI SW OF US 90,"30.032059, -94.08204",65343,16.0,10454.88,1.0,10454.88,1962,0.0,1962.0,63.0,4,4.1928378363363500,2.0964189181681700,0.9999537281542570
1.5015E+14,IH 35 @ IH 10,"29.234657, -98.30402",157486,11.0,17323.46,1.0,17323.46,1967,1987.0,1987.0,38.0,4,2.530419237170640,1.265209618585320,0.9999535743422940
1.5015E+14,1.90 MI SW OF LP 13,"29.203003, -98.331184",48778,26.0,12682.28,1.0,12682.28,1956,1974.0,1974.0,51.0,4,3.4564460363874800,1.728223018193740,0.9999484410605490
1.5015E+14,1.80 MI SW OF LP 13,"29.203124, -98.330292",48778,26.0,12682.28,1.0,12682.28,1956,1974.0,1974.0,51.0,4,3.4564460363874800,1.728223018193740,0.9999484410605490
1.5015E+14,1.80 MI SW OF LP 13,"29.203722, -98.330404",48778,26.0,12682.28,1.0,12682.28,1956,1974.0,1974.0,51.0,4,3.4564460363874800,1.728223018193740,0.9999484410605490
1.2102E+14,IH 610 @ IH 45 (INTERCHG),"29.414755, -95.171551",208346,7.0,14584.22,1.0,14584.22,1952,1981.0,1981.0,44.0,4,3.005688095651060,1.5028440478255300,0.999945968589652
1.2102E+14,0.6 MI E OF IH 610,"29.422739, -95.152432",62085,17.0,10554.45,1.0,10554.45,1965,0.0,1965.0,60.0,4,4.153282874840110,2.076641437420050,0.9999415740693900
1.8057E+14,At IH30/IH345 Interchange,"32.465035, -96.470355",194018,6.0,11641.08,1.0,11641.08,1971,0.0,1971.0,54.0,4,3.765597044119290,1.882798522059640,0.9999389842890480
1.2102E+14,1 MI S OF IH 610,"29.410596, -95.163787",208346,7.0,14584.22,1.0,14584.22,1952,1982.0,1982.0,43.0,4,3.005688095651060,1.5028440478255300,0.9999381233930840
1.8057E+14,3.2 Mi N of Loop 12,"32.542686, -96.534956",107820,10.0,10782.0,1.0,10782.0,1967,0.0,1967.0,58.0,4,4.065629422960130,2.032814711480070,0.9999370905957480
1.8057E+14,0.35 Mi N of IH 30,"32.463002, -96.484246",113538,10.0,11353.8,1.0,11353.8,1957,1971.0,1971.0,54.0,4,3.8608762210322700,1.9304381105161300,0.9999293721653190
1.8057E+14,3.5 MI NW OF IH 30,"32.515056, -96.394009",81210,13.0,10557.3,1.0,10557.3,1967,0.0,1967.0,58.0,4,4.152161673757130,2.0760808368785700,0.9999288449404830
1.8057E+14,1.1 MI E OF JUPITER RD,"32.52056, -96.400384",81210,13.0,10557.3,1.0,10557.3,1967,0.0,1967.0,58.0,4,4.152161673757130,2.0760808368785700,0.9999288449404830
1.0212E+14,0.75 MI W OF US 69,"32.280714, -95.240188",25510,38.0,9693.8,1.0,9693.8,1962,0.0,1962.0,63.0,4,4.522026082481190,2.2610130412406000,0.9999277425842420
1.0212E+14,8.0 MI E OF SH 110,"32.280609, -95.231476",25510,38.0,9693.8,1.0,9693.8,1962,0.0,1962.0,63.0,4,4.522026082481190,2.2610130412406000,0.9999277425842420
1.0212E+14,0.75 MI W OF US 69,"32.280649, -95.240183",25510,38.0,9693.8,1.0,9693.8,1962,0.0,1962.0,63.0,4,4.522026082481190,2.2610130412406000,0.9999277425842420
1.2102E+14,0.30 MI S MONTGOMERY C/L,"30.06228, -95.260819",181539,9.0,16338.51,1.0,16338.51,1988,0.0,1988.0,37.0,4,2.682962916346480,1.341481458173240,0.999923339016204
